"Angular.position" "Reflex.Amplitude"
"1" 6.11 -39.8
"2" 1.07409402 -24.6
"3" 2.31818804 28.8
"4" 3.562282061 69.86667
"5" 4.806376081 -36.73333
"6" 0.18 -30.6
"7" 1.452644149 -43.5
"8" 2.725288298 23.6
"9" 3.997932448 32.75
"10" 5.270576597 15.75
"11" 0 -18.35
"12" 1.194984111 -70.75
"13" 2.389968223 -9.1
"14" 3.584952334 51.8
"15" 4.779936445 44.8
"16" 0.23 -43
"17" 1.517924163 -4.055555
"18" 2.805848325 111.7222
"19" 4.093772488 -16.22222
"20" 5.38169665 -50.16667
"21" 0.05 10.21053
"22" 1.315728899 -99.8421
"23" 2.581457797 -26.36842
"24" 3.847186696 39.57895
"25" 5.112915594 74.63158
"26" 0.0466 -58.8
"27" 1.292726565 -13.75
"28" 2.538853131 30.45
"29" 3.784979696 82.3
"30" 5.031106262 -42.25
"31" 0.1488 -1.3
"32" 1.402694961 -9.6
"33" 2.656589922 -0.65
"34" 3.910484883 6.15
"35" 5.164379845 3.85
"36" 0.31 -59.35
"37" 1.551328 -70
"38" 2.792655999 -17.75
"39" 4.033983999 143.8
"40" 5.275311998 1.55
"41" 6.1494 -9.57
"42" 1.125526492 -1.17
"43" 2.381652984 -8.72
"44" 3.637779476 8.63
"45" 4.893905968 10.83
"46" 5.503228898 -26.33333
"47" 0.478912818 1.466667
"48" 1.734625637 2.133333
"49" 2.990338455 62.53333
"50" 4.246051274 -41.93333
"51" 5.825131048 15.06667
"52" 0.789933964 -74.33334
"53" 2.034767928 -15.26667
"54" 3.279601891 43.13334
"55" 4.524435855 29.33333
"56" 6.1201 -16.73333
"57" 1.077887565 -30.06667
"58" 2.31567513 -13.8
"59" 3.553462695 20.6
"60" 4.79125026 37.6
"61" 0.1051 -5.4
"62" 1.361492748 -90.93333
"63" 2.617885497 -0.1333333
"64" 3.874278245 48.6
"65" 5.130670993 46.26667
"66" 0.2956 -56.1
"67" 1.484055555 -39.5
"68" 2.672511109 60.75
"69" 3.860966664 86.55
"70" 5.049422219 -53.45
