"direction" "counts"
"1" 22.5 28
"2" 0 17
"3" 315 18
"4" 67.5 72
"5" 292.5 30
"6" 45 33
"7" 270 16
"8" 157.5 36
"9" 202.5 20
"10" 112.5 43
"11" 337.5 9
"12" 180 27
"13" 90 40
"14" 247.5 14
"15" 135 46
"16" 0 12
"17" 225 40
"18" 270 33
"19" 337.5 11
"20" 315 18
"21" 22.5 35
"22" 225 29
"23" 247.5 14
"24" 135 71
"25" 292.5 18
"26" 90 78
"27" 0 20
"28" 67.5 63
"29" 202.5 44
"30" 0 19
"31" 112.5 81
"32" 45 34
"33" 157.5 54
"34" 180 24
"35" 270 14
"36" 157.5 52
"37" 315 21
"38" 0 27
"39" 247.5 5
"40" 225 19
"41" 292.5 11
"42" 180 31
"43" 112.5 53
"44" 90 46
"45" 45 44
"46" 135 54
"47" 67.5 24
"48" 22.5 13
"49" 0 11
"50" 337.5 15
"51" 202.5 26
"52" 202.5 32
"53" 45 70
"54" 22.5 54
"55" 292.5 3
"56" 315 18
"57" 67.5 86
"58" 225 35
"59" 247.5 13
"60" 0 14
"61" 112.5 62
"62" 180 43
"63" 90 51
"64" 0 13
"65" 337.5 6
"66" 157.5 47
"67" 270 12
"68" 135 63
